1;1
1;3
1;10
1;14
1;16
2;2
2;3
2;5
3;9
3;8
3;13
3;15
3;9
4;1
4;4
4;2
4;10
4;6
5;11
5;13
5;15
5;3
6;7
6;1
6;16
6;10
6;13
7;1
7;7
7;16
7;5
7;9
8;11
8;9
10;1
10;9
10;18
10;19
10;22
11;7
11;10
11;14
11;19
11;20
12;1
12;2
12;5
12;9
12;15
13;4
13;16
13;10
13;13
13;17
14;21
14;22
14;7
14;9
14;3
15;8
15;5
15;14
15;11
15;21
16;10
16;5
16;15
16;19
16;18
17;1
17;3
17;5
17;8
17;18
18;9
18;8
18;5
18;4
18;2
19;19
19;1
19;11
19;12
19;18
20;21
20;22
20;1
20;2
20;5
21;7
21;9
21;3
21;13
21;16
22;17
22;20
22;6
22;22
22;9
